Manifeste (thème);Manifeste (action);Répertoire;Objectif général;Objectif intermédiaire;Actions du répertoire des solutions;Cotation coût/climat;Devenir Orléans Métropole;Si Orléans Métropole ne retient pas, motif :;Etat de maturité de la solution;Financement;Ce que nous pourrons faire dès 2022;Soutenu par un document de planification existant ?;Solution Totem;cotation_cout;valeur_cout;cotation_climat;valeur_climat;Nom du thème
6.0;H6;112;Inondation;Mieux connaitre et adapter son territoire;Valorisation des zones inconstrutibles (biodiversité);coût ++/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Utilisation du référentiel ville durable et atlas foncier en cours d'établissement par l'urbanisme;PLUm;non;coût++;2;impact+++;3;Risque inondation
9.0;H9;346;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;Favoriser l'emploi de proximité;coût ++/impact +++;Orléans Métropole soutient;;est déjà en place,fonctionne;n'a pas encore été chiffré;Déploiement des actions en lien (rénovation énergétique, énergies renouvelables, agriculture…);;non;coût++;2;impact+++;3;Ville durable
2.0;1;285;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Déployer une présence du guichet de la rénovation énergétique pour plus de proximité;coût ++/impact +;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;fait l'objet d'une inscription au PPI;"Conventionner avec l'ADIL France Renov pour mettre en place le guichet
Définir les lieux d'accueil, la fréquence";;non;coût++;2;impact+;1;Rénovation énergétique
2.0;3;300;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;Créer un label des entreprises propre à un ou des enjeux du territoire;coût +/impact +++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Engager la réflexion avec les partenaires (FFB, CAPE, etc.), s'interfacer avec la démarche portée par la Région;;non;coût+;1;impact+++;3;Rénovation énergétique
2.0;3;308;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;Soutenir / promouvoir l'installation de panneaux photovoltaiques, sur les immeubles collectifs;coût +/impact +++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;n'a pas encore été chiffré;Informer et proposer une expérimentation aux bailleurs sociaux et syndics des immeubles à potentiel identifiés;;non;coût+;1;impact+++;3;Rénovation énergétique
2.0;8;907;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Contribuer à une meilleure connaissance des bâtiments du tertiaire privé et animer les réseaux d’acteurs pour inciter au passage à l’acte;;;;;;;;non;;N.A.;;N.A.;Rénovation énergétique
1.0;13;37;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Développer une stratégie de sobriété sur l'éclairage public en lien avec l'enjeu biodiversité;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Promouvoir la sobriété de l'éclairage public dans le cadre des évaluations du référentiel Ville durable. Valoriser les expériences locales existantes, créer des temps d'échanges entre élus communaux;PCAET;non;coût++;2;impact++;2;Energies renouvelables
1.0;14;44;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Développer l'énergie thermique renouvelable : géothermie et puits canadiens (fraîcheur) - solution intéressante pour les bâtiments tertiaires et résidentiels.;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;fait l'objet d'une inscription au PPI;Etude du BRGM en cours sur l'opportunité d'une boucle tempérée dans le cadre du projet d'élergissement du parc d'activités de la Saussaye;SDE;non;coût++;2;impact+++;3;Energies renouvelables
1.0;14;59;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Développer des unités de méthanisation en injection de biogaz via notamment la valorisation des déchets (ménagers, professionnels);coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;a été chiffré mais n'est pas budgété;"Finalisation de l'étude sur la valorisation des biodéchets ménagers et assimilés 
Réalisation d'une étude sur la valorisation des déchets verts des professionnels";SDE;non;coût+++;3;impact+++;3;Energies renouvelables
9.0;26;350;Ville durable;Préserver les ressources;Favoriser des dispositifs de verdissement des façades;coût +/impact+;Orléans Métropole soutient;;est déjà en place,fonctionne;n'a pas encore été chiffré;Intégrer ces dispositifs dans les évaluations référentiel Ville Durable, identifier des retours d'expérience;;non;coût+;1;impact+;1;Ville durable
4.0;33;158;Mobilité;Améliorer et développer les services de mobilité;Développer les ateliers de réparation de vélos sur l'ensemble du territoire, voir créer une maison du vélo;coût+/ impact++;Orléans Métropole soutient;;mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Relance des stands de réparation vélo au printemps avec 1'terre action;PDU;non;coût+;1;impact++;2;Mobilités durables
4.0;34;176;Mobilité;Diminuer l'impact des véhicules motorisés sur l'environnement;Mettre en place une Zone à Faibles Emissions (ZFE) ou des Zones à circulation restreinte;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;a été chiffré mais n'est pas budgété;Définition méthodologie et premières concertations;SDE;oui;coût++;2;impact++;2;Mobilités durables
3.0;26;912;Biodiversité;La nature comme solution;Développer la biodiversité en ville : préserver la petite faune locale, agir sur la flore grâce à des aménagements et des plans de gestion adaptés;;;;;;;;non;;N.A.;;N.A.;Biodiversité
5.0;42;380;Déchets et économie circulaire;Favoriser la gestion de proximité des biodéchets;Mettre en place des composteurs dans les cimetières;coût +/impact+;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Analyser les pratiques actuelles sur un site, en lien avec une commune, un pôle;;non;coût+;1;impact+;1;Déchets et économie circulaire
8.0;80;930;Alimentation;Eduquer et sensibiliser les habitants de la Métropole aux enjeux de l'agriculture et de l'alimentation durables;Faire connaître et valoriser la qualité des produits agricoles d’Orléans Métropole.;;;;;;;;non;;N.A.;;N.A.;Alimentation et agriculture
4.0;90;140;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;"Développer un réseau d'""autoroutes à vélo"" ou d'axes express vélo (itinéraires cyclables larges, continus, sans coupure (priorité à l'aménagement cyclable au carrefour), adaptés à tous les cyclistes, constitués de pistes et rues apaisées...)";coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;fait l'objet d'une inscription au PPI;Lancement des premières études sur l'axe Nord-Sud;autre;non;coût+++;3;impact+++;3;Mobilités durables
2.0;1;286;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Assurer un accompagnement au projet intégrant le contrôle après travaux et l'appropriation du logement rénové par le ménage;coût ++/ impact ++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;fait l'objet d'une inscription au PPI;Intégrer ces missions dans la convention avec l'ADIL sur le guichet de la rénovation;;non;coût++;2;impact++;2;Rénovation énergétique
2.0;3;299;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;Développer la formation initiale et continue des professionnels locaux de la filière bâtiment / énergie;coût +/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Etude pour faire un état des lieux et définir une stratégie de développement des formations;;oui;coût+;1;impact+++;3;Rénovation énergétique
1.0;11;36;EnR;Impulser la dynamique du territoire en prenant appui sur la société à créer Orléans Métropole Energies;Harmoniser les stratégies de la Région et de la Métropole en matière de soutien aux EnR (ex : synchronisation des subventions);coût +/impact+;Orléans Métropole pilote;;besoin d'études préalables;sans objet;Implication des services dans la concertation des études et schémas en cours (ex: articulation du schéma directeur des Infrastructures de Recharge des Véhicules Electriques avec le schéma d'avitaillement régional);PCAET;non;coût+;1;impact+;1;Energies renouvelables
2.0;9;908;Rénovation;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;Renforcer les logiques de coopération entre professionnels de la rénovation afin de proposer des chantiers clé en main, multi-intervenants dans une logique de maitrise des coûts;;;;;;;;non;;N.A.;;N.A.;Rénovation énergétique
1.0;11;29;EnR;Impulser la dynamique du territoire en prenant appui sur la société à créer Orléans Métropole Energies;Faire des groupements d'achats, d'installations (sur la rénovation et l'installation d'EnR);coût +/impact +++;Orléans Métropole soutient;;besoin d'études préalables;;Action qui ne sera pas initialisée en 2022. Priorité est donnée au plan de solarisation du patrimoine public;;non;coût+;1;impact+++;3;Energies renouvelables
1.0;13;56;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Fiabiliser l'approche, la connaissance, la consultation, la validation des performances des professionnels RGE, auprès des citoyens.;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;En lien avec l'ADIL-Espace France Rénov', apporter un conseil neutre et qualifié sur le choix de cette technologie. Travailler à la structuration locale de l'offre pour aller vers un référencement des installateurs.;;non;coût++;2;impact++;2;Energies renouvelables
1.0;12;30;EnR;Agir spécifiquement en faveur du développement du photovoltaïque;Développer des projets photovoltaïques par une action groupée (groupement de toitures, d'achats...) afin de bénéficier de tarifs intéressants;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Plan de solarisation du patrimoine de la Métropole d'Orléans afin de produire une 1ère grappe de projets groupés- servira de base de compétences pour de futurs porteurs de projets;SDE;non;coût++;2;impact++;2;Energies renouvelables
1.0;13;901;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Accompagner de manière prioritaire la rénovation auprès des foyers en précarité énergétique;coût ++/ impact ++;Orléans Métropole pilote;;;;Approche déclinée dans l'axe Rénovation Energétique;PCAET;non;coût++;2;impact++;2;Energies renouvelables
1.0;13;11;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Clarifier les bénéfices pour les citoyens des EnR produites localement;coût+/ impact++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Accompagner les collectifs citoyens en présence à l'émergence et au développement d'un projet;PCAET;non;coût+;1;impact++;2;Energies renouvelables
1.0;20;58;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Encourager l’émergence d’une filière hydrogène;;;;;;;;non;;N.A.;;N.A.;Energies renouvelables
3.0;22;233;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Sur des sites qualifiés d’intérêt métropolitain, développer de manière privilégiée des plans d’actions ambitieux associant préservation, développement de la biodiversité et actions de pédagogie.;coût ++/ impact ++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;a été chiffré mais n'est pas budgété;Statuer sur une stratégie globale d'intervention pour la métropole et les communes, planifier et budgéter la mise en œuvre de la solution;PCAET;non;coût++;2;impact++;2;Biodiversité
3.0;27;911;Biodiversité;La nature comme solution;"Développer les jardins partagés dans tous les quartiers dans un triple intérêt : alimentation, compostage et nature en ville;";;;;;;;;non;;N.A.;;N.A.;Biodiversité
9.0;14;355;Ville durable;Préserver les ressources;Développer la géothermie profonde exploitable sur la Métropole, moins impactante sur l'air que la combustion;coût +++/impact ++;Orléans Métropole pilote;;est déjà en place,fonctionne;a été chiffré mais n'est pas budgété;Approche déclinée dans l'axe Energies Renouvelables;SDE;non;coût+++;3;impact++;2;Ville durable
4.0;33;160;Mobilité;Améliorer et développer les services de mobilité;Développer les services vélos pour les entreprises (location de vélo pour déplacements professionnels);coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;;Déjà en place, mais peu de demande/ (absence budget supplémentaire en 2022);;non;coût++;2;impact++;2;Mobilités durables
3.0;21;231;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;"Réaliser les IBC sur les 22 communes, nécessaires à la connaissance de la biodiversité.  Mettre en œuvre les plans d’actions associés.
Suivre les préconisations des IBC avec l'appui de partenaires";coût ++/impact +++;Orléans Métropole pilote;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Finaliser les inventaires de biodiversité communale en cours à Fleury, St Cyr, Marigny, Boigny et Mardié. Démarrer les IBC des 6 communes volontaires, Bou, Combleux, St Denis en Val, St Hilaire St Mesmin, St Pryvé St Mesmin et la Chapelle St Mesmin.;PCAET;non;coût++;2;impact+++;3;Biodiversité
3.0;24;228;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Créer des passerelles entre les différents acteurs autour de la biodiversité (aménageurs notamment);coût +/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;sans objet;Repenser les rencontres de la biodiversité pour relancer les synergies entre les acteurs du territoire, faire se croiser encore plus les mondes du paysage, du jardin et ceux de la biodiversité et la nature sauvage. Orienter toujours vers l'ARB dont c'est une des missions/ambitions;;non;coût+;1;impact+++;3;Biodiversité
9.0;72;352;Ville durable;Préserver les ressources;Quantifier combien d'hectares minimum de zone agricole sont nécessaires à l'autonomie alimentaire;coût +/impact+;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;;L'étude a déjà été menée. Les résultats pourront être publiés;autre;non;coût+;1;impact+;1;Ville durable
9.0;81;931;Ville durable;Adapter la ville au changement climatique;Adapter la ville au changement climatique en agissant spécifiquement sur les ilots de chaleur;;;;;;;;non;;N.A.;;N.A.;Ville durable
9.0;84;315;Ville durable;Développer une approche intégrée d'évaluation des projets urbains;Réaliser des évaluations de projets urbains à l'aide de l'outil référentiel Ville Durable développé par la Métropole pour une appréciation 360° des performances environnementales et assurer l'intégration et le suivi des préconisations dans les projets;coût +++/impact+++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Feuille de route de déploiement sur les projets en cours pour Orléans Métropole et les communes volontaires;PCAET;oui;coût+++;3;impact+++;3;Ville durable
4.0;90;130;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Donner la priorité aux bus dans la circulation générale et créer des voies réservées;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;;PDU;non;coût++;2;impact+++;3;Mobilités durables
4.0;90;143;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Jalonner les itinéraires cyclables;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Elaboration schéma direction de jalonnement cyclable et mise à niveau ou création jalonnement d'un ou 2 itinéraires;PDU;non;coût++;2;impact+++;3;Mobilités durables
4.0;90;146;Mobilité;Réorganiser la circulation et le stationnement motorisés;Étendre les zones piétonnes;coût +/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;;PDU;non;coût+;1;impact+++;3;Mobilités durables
6.0;57;919;Inondation;Mieux connaitre et adapter son territoire;Engager dans le cadre d’une coopération avec les communautés de communes des Loges et du Val de Sully un Programme d’Actions et de Prévention du risque Inondation (PAPI) sur l’axe Loire : mieux connaitre nos systèmes d’endiguement, les renforcer, développer un système de surveillance en cas de crue en relai des actions jusque-là menées par la Direction Départementale des Territoires;;;;;;;;non;;N.A.;;N.A.;Risque inondation
6.0;58;114;Inondation;Mieux connaitre et adapter son territoire;Limiter le ruissellement dû à l'imperméabilisation des sols;coût +++/impact+++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;sans objet;Utilisation du référentiel ville durable et appui sur la stratégie développée par le Pôle DREAM;PLUm;non;coût+++;3;impact+++;3;Risque inondation
7.0;68;923;Eau;Préserver les ressources en eau;Réduire les prélèvements sur les ressources;;;;;;;;non;;N.A.;;N.A.;Eau et milieux aquatiques
4.0;90;170;Mobilité;Sensibiliser et accompagner les usagers vers les mobilités durables;Développer les rues scolaires;coût +/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;a été chiffré mais n'est pas budgété;Expérimentation sur de nouvelles écoles;;non;coût+;1;impact+++;3;Mobilités durables
8.0;97;208;Alimentation;Éduquer et/ou sensibiliser les populations à l’enjeu de l’agriculture et l’alimentation durable;Faire découvrir le goût des produits, au travers de la restauration scolaire, la formation de base (cuisinier...).;coût ++/ impact ++;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Les communes pourraient animer l'intervention de producteurs dans les restaurants scolaires, pour présenter la production aux enfants pendant le temps du repas.  Partenariat restauration collective. Réflexion à engager sur une coordination de cette action par Orléans Métropole, et une communication mutualisée sur ces actions.;;non;coût++;2;impact++;2;Alimentation et agriculture
3.0;97;246;Biodiversité;Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;Pour communiquer différemment, mettre en avant les démarches individuelles à envisager;coût+/ impact++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Etudier la pertinence de faire appel à des habitants engagés dans une démarche biodiversité (jardins au naturel) afin de valoriser leurs actions;;non;coût+;1;impact++;2;Biodiversité
2.0;97;279;Rénovation;Mobiliser l'ensemble des acteurs du territoire par une stratégie de sensibilisation et de communication sur les enjeux de la rénovation énergétique;Communiquer à partir de projets exemplaires, organiser des visites, utiliser les mesures après travaux;coût +/impact +++;Orléans Métropole soutient;;est déjà en place,fonctionne;fait l'objet d'une inscription au PPI;Inscrire dans la convention ADIL du guichet de la rénovation énergétique des objectifs annuels;;non;coût+;1;impact+++;3;Rénovation énergétique
4.0;90;135;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Former les concepteurs d'espace public aux mobilités durables;coût +/impact +++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Formation des chargés d'opération voirie sur aménagements cyclables en 2022;PDU;non;coût+;1;impact+++;3;Mobilités durables
4.0;90;137;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Organiser des visites terrains à pied ou à vélo avec élus/technicien/Usagers à pied avant les (ré)aménagements de voirie;coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;;;;non;coût+;1;impact++;2;Mobilités durables
4.0;90;138;Mobilité;(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;Informer régulièrement sur l'avancée du Plan Vélo et les itinéraires cyclables créés;coût +/impact+;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;;"Poursuite du comité d'usagers cyclistes, identification d'élus référents ""Plan Vélo"" dans les communes, organisation de COPIL de suivi";PDU;non;coût+;1;impact+;1;Mobilités durables
2.0;1,2;293;Rénovation;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;Subventionner de façon massive et adaptée à chaque cible;coût +++/impact ++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Définir un nouveau réglement des aides de la Métropole;PLH;non;coût+++;3;impact++;2;Rénovation énergétique
7.0;97;72;Eau;Communication sur la thématique de l'EAU;Créer des aménagements urbains pédagogiques et artistiques autour de la préservation et la valorisation de l'eau, pour les petits et les grands (jeux d'eau, espace Oasis, perméable…);coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût++;2;impact++;2;Eau et milieux aquatiques
1.0;14,81;5;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Développer le rafraichissement grâce à des espaces publics végétalisés (cobénéfice : Réduction des ilots de chaleur);coût ++/impact +++;Orléans Métropole pilote;;;;Approche déclinée dans l'axe Ville Durable;;non;coût++;2;impact+++;3;Energies renouvelables
3.0;24,26,29;268;Biodiversité;Exemplarité des collectivités;Lutter contre les espèces invasives. Interdire les espèces invasives (ex. Obama nungara) dans les aménagements publics et créer une filière pour la gestion des invasives;coût +++/impact+++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Refaire passer les messages du Groupe Invasives en région, piloté par le Conservatoire des Espaces Naturels et le Conservatoire Botanique. Solliciter ces acteurs pour des interventions en formation. Signer la charte contre l'introduction des Espèces Exotiques Envahissantes dans les aménagements et les plantations;;non;coût+++;3;impact+++;3;Biodiversité
3.0;28,97;242;Biodiversité;Sensibilisation de la population aux enjeux et aux solutions accessibles au plus grand nombre;Sensibiliser et mobiliser la population avec les outils existants et futurs (Museum, Parc de Loire, 24H Biodiversité,malle pédagodique,…)​;coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Développer une communication plus active via des articles sur journaux communaux ou les réseaux sociaux pour promouvoir les outils.;;oui;coût+;1;impact++;2;Biodiversité
5.0;41,97;916;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Inscrire les collectivités dans l’initiative ambitieuse et rayonnante « territoire zéro (pollution) plastiques »;;;;;;;;non;;N.A.;;N.A.;Déchets et économie circulaire
9.0;97;369;Ville durable;Développer la connaissance autour de la ville durable et ses ressources;"Développer la communication sur les open data de la Métropole en vue du soutien au développement de projets par les habitants et les ""startup""";coût +/impact+;Orléans Métropole pilote;;mérite une progression;est déjà en place, fonctionne;Etendre à d'autres thématiques que celles existantes (ex. bruit ,biodiversité, risques…) l'open data d'Orléans Métropole;PCAET;non;coût+;1;impact+;1;Ville durable
10.0;98;939;Gouvernance;;Mettre en place un Comité de pilotage de la transition écologique à l’écoute des propositions de l’instance citoyenne, du Conseil de développement et du réseau des élus des communes pour faire évoluer et ajuster la feuille de route en continue;;;;;;;;non;;N.A.;;N.A.;Gouvernance partagée
5.0;48,97;395;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Eduquer par l'expérience et le jeu;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Valoriser les outils et dispositifs existants (escape game, défi textile, ...);;non;coût+;1;impact++;2;Déchets et économie circulaire
5.0;48,97;402;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Créer du lien avec les établissements de formation pour développer les compétences;coût+/ impact++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;"Accompagner le projet ""campus durable"" et répondre aux demandes des établissements scolaires intéressés par la thématique déchet";PLPD;non;coût+;1;impact++;2;Déchets et économie circulaire
4.0;35,97;164;Mobilité;Sensibiliser et accompagner les usagers vers les mobilités durables;Créer une centrale de mobilité/une maison des mobilités informant sur l'ensemble des services de mobilité, et menant des actions de sensibilisation et d'accompagnement;coût ++/impact +++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;fait l'objet d'une inscription au PPI;Poursuite des actions de sensibilisation autour du vélo (stands vélo) + Coordination des acteurs + Campagne de promotion;PDU;oui;coût++;2;impact+++;3;Mobilités durables
6.0;52,97;95;Inondation;Sensibilisation de la population au risque inondation en portant une attention particulière au plus jeune;Développer les balades pédagogiques;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Organiser les parcours;PAPI;oui;coût++;2;impact+++;3;Risque inondation
6.0;52,97;98;Inondation;Sensibilisation de la population au risque inondation en portant une attention particulière au plus jeune;Evenement récurrent (annuel?) sur les inondations;coût ++/impact +;Orléans Métropole pilote;;;;Cette dimension pourra être intégrée à l'évènement annuel des Assises de la Transition;;non;coût++;2;impact+;1;Risque inondation
6.0;52,97;99;Inondation;Montée en compétences des acteurs du territoire face au risque inondation;DICRIM (Document d'Information Communal sur les Risques Majeurs) pour et par les enfants;coût+/ impact++;Orléans Métropole soutient;;besoin d'études préalables;a été chiffré mais n'est pas budgété;Monter le marché pour désigner une agence de communication/animation de la démarche et travailler au maquettage du document, collaborer avec les communes volontaires;PAPI;oui;coût+;1;impact++;2;Risque inondation
6.0;53,96;103;Inondation;Montée en compétences des acteurs du territoire face au risque inondation;Informer et former les élus du risque inondation;coût +/impact +++;Orléans Métropole pilote;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Déjà en place via le groupe référents des risques de la métropole : poursuite et intensification de la démarche;PAPI;non;coût+;1;impact+++;3;Risque inondation
6.0;52,97;97;Inondation;Sensibilisation de la population au risque inondation en portant une attention particulière au plus jeune;Délivrer un diplôme ou organiser un concours par exemple : les inondations à St Hilaire, je sais quoi faire;coût ++/impact +;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022 : priorité donnée aux autres actions;;non;coût++;2;impact+;1;Risque inondation
5.0;H5;410;Déchets et économie circulaire;Soutenir le développement d'une économie locale plus circulaire;Faire des marchés des lieux exemplaires en matière de réduction et gestion des déchets;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Initier la démarche sur de premiers sites;;non;coût++;2;impact++;2;Déchets et économie circulaire
1.0;95,97;26;EnR;Impliquer les citoyens dans le développement des énergies renouvelables;Faire des prolongations avec des Assises 2 ! (dédiées aux EnR);coût+/ impact++;Orléans Métropole pilote;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;La dynamique des Assises se prolongera en 2022 : suivi, évaluation, poursuite des actions;;non;coût+;1;impact++;2;Energies renouvelables
4.0;H4;186;Mobilité;Adapter la ville pour favoriser les mobilités durables;Développer les services de livraison pour les personnes qui vont en bus/tram/vélo faire leurs courses;coût ++/impact +;Orléans Métropole soutient;;;n'a pas encore été chiffré;Rôle de la collectivité à définir (projets privés);;non;coût++;2;impact+;1;Mobilités durables
7.0;H7;66;Eau;Gestion différenciées des eaux pluviales - Vers un territoire 0 rejet;Développer un plan Ville perméable (sur l’exemple de Lyon);coût ++/impact +++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Communication sur des actions mises en œuvre sur les Techniques Alternatives;autre;non;coût++;2;impact+++;3;Eau et milieux aquatiques
5.0;H8;379;Déchets et économie circulaire;Développer une alimentation durable et anti-gaspillage;Réutiliser les denrées potentiellement gaspillées en redistribution à vocation sociale;coût +/impact+;Orléans Métropole soutient;;;n'a pas encore été chiffré;Inventorier les initiatives existantes de frigo solidaire;;non;coût+;1;impact+;1;Déchets et économie circulaire
8.0;77;195;Alimentation;Préserver le foncier agricole et maintenir une activité agricole durable, compétitive et innovante;Installer de nouveaux producteurs (maraîchage, arboriculture, élevage, etc.), avec une notion pédagogique et de lien social entre producteurs et famille.;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Communiquer sur le dispositif Terr'O, soutien financier aux communes par les appel à projets communaux, suivi des porteurs de projet, travail avec les organismes partenaires (Chambre d'agriculture, école horticole de la Mouillère, MFR de l'Orléanais);Charte agricole;non;coût+;1;impact++;2;Alimentation et agriculture
8.0;78;929;Alimentation;Développer une agriculture durable, en adéquation avec les attentes des consommateurs, qui réponde aux enjeux du territoire, de ses habitants et de la Loi EGAlim;Préserver les ressources (encourager la prise en compte de la biodiversité sur les exploitations, la gestion durable de la ressource en eau).;;;;;;;;non;;N.A.;;N.A.;Alimentation et agriculture
9.0;83;328;Ville durable;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;Associer toutes les parties prenantes aux projets et prendre en compte les usages et pratiques;coût+/ impact++;Orléans Métropole pilote;;mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;développer une méthodologie en lien avec les évaluations via l'outil référentiel Ville Durable, développer une gouvernance citoyenne de la transition;PCAET;non;coût+;1;impact++;2;Ville durable
9.0;84;316;Ville durable;Développer une approche intégrée d'évaluation des projets urbains;Renforcer les critères d'intégration des nouvelles constructions dans le tissu préexistant;coût +/impact+;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;;Intégration de ce critère aux évaluations référentiel Ville Durable;PLUm;non;coût+;1;impact+;1;Ville durable
